GEM plant ID,Plant name (English),Plant name (other language),Other plant names (English),Other plant names (other language),Owner,Owner (other language),Owner GEM entity ID,Owner PermID,SOE status,Parent (English),Parent GEM entity ID,Parent PermID,Location address,Location address (other language),Municipality,Subnational unit,Country/area,Region,Coordinates,Coordinate accuracy,GEM wiki page,Plant age,Announced date,Construction date,Start date,Pre-retirement announcement date,Idled date,Retired date,Ferronickel capacity (ttpa),Sinter plant capacity (ttpa),Coking plant capacity (ttpa),Pelletizing plant capacity (ttpa),Category steel product,Steel products,Steel sector end users,Workforce size,ISO 14001,ISO 50001,ResponsibleSteel certification,Main production equipment,Power source,Iron ore source,Met coal source,Total capacity (ttpa),Latitude,Longitude,Country_code,distance_degrees,litpop_index,LitPop_value,LitPop_latitude,LitPop_longitude,LitPop_region_id,LitPop_impf
P100001063598,Fengshun Changsheng Special Steel Casting Co Ltd Qingyuan Branch,丰顺昌盛精钢铸造有限公司清远分公司,,,Fengshun Changsheng Precision Steel Casting Co Ltd,,E100002020690,unknown,,Fengshun Changsheng Precision Steel Casting Co Ltd [100.0%],E100002020690 [100.0%],unknown [100.0%],unknown,清远市清城区石角镇界牌新村北江工业园,Qingyuan,Guangdong,China,Asia Pacific,"23.507015, 112.953822",approximate,https://www.gem.wiki/Fengshun_Changsheng_Special_Steel_Casting_Co_Ltd_Qingyuan_Branch,17.0,unknown,unknown,2009,unknown,unknown,unknown,,,,,finished rolled,rebar,unknown,150,no,no,no,EAF,unknown,unknown,unknown,,23.507015,112.953822,CHN,0.03494410296685208,133462,1746497357.0257854,23.54166667,112.95833333,156,1
P100001063602,Fengshun County Agricultural Machinery Continuous Casting Co,丰顺县农械连铸厂,,,Fengshun County Agricultural Machinery Continuous Casting Co,,E100002020693,unknown,,Fengshun County Agricultural Machinery Continuous Casting Co [100.0%],E100002020693 [100.0%],unknown [100.0%],unknown,广东省丰顺县汤西镇工业区,Meizhou,Guangdong,China,Asia Pacific,"23.7483180, 116.1398500",exact,https://www.gem.wiki/Fengshun_County_Agricultural_Machinery_Continuous_Casting_Co,22.85,unknown,unknown,2003-04-15 00:00:00,unknown,unknown,unknown,,,,,semi-finished,steel billet,unknown,56,expired,2024-02-22 00:00:00,no,EAF,State Grid,unknown,unknown,,23.748318,116.13985,CHN,0.04265321013720981,133059,453215982.2079722,23.70833333,116.125,156,1
P100001063619,Fengshun County Dongfang Metal Continuous Casting Co Ltd,丰顺县东方金属连铸有限公司,FEOSO Metal Lianzhu Limited Company,,Fengshun County Dongfang Metal Casting Co Ltd,,E100002020697,unknown,,Fengshun County Dongfang Metal Casting Co Ltd [100.0%],E100002020697 [100.0%],unknown [100.0%],unknown,丰顺县汤西镇汤西工业园,Meizhou,Guangdong,China,Asia Pacific,"23.749104, 116.138262",exact,https://www.gem.wiki/Fengshun_County_Dongfang_Metal_Continuous_Casting_Co_Ltd,22.6,unknown,unknown,2003-07-16 00:00:00,unknown,unknown,unknown,,,,,unknown,unknown,unknown,150,no,2024-02-29 00:00:00,no,EAF,State grid,unknown,unknown,,23.749104,116.138262,CHN,0.04287339706914858,133059,453215982.2079722,23.70833333,116.125,156,1
P100001063490,Fengshun County Hongbao Industrial Co Ltd,丰顺县鸿宝实业有限公司,,,Fengshun County Hongbao Industrial Co Ltd,,E100002020639,unknown,,Fengshun County Hongbao Industrial Co Ltd [100.0%],E100002020639 [100.0%],unknown [100.0%],unknown,丰顺县汤坑镇洋田村友谊路下坡,Meizhou,Guangdong,China,Asia Pacific,"23.720136, 115.949449",exact,https://www.gem.wiki/Fengshun_County_Hongbao_Industrial_Co_Ltd,32.93,unknown,unknown,1993-03-15 00:00:00,unknown,unknown,unknown,,,,,semi-finished,Steel ingots,unknown,70,unknown,unknown,no,EAF,unknown,unknown,unknown,,23.720136,115.949449,CHN,0.01477275663773863,133057,1404595.2279711333,23.70833333,115.95833333,156,1
P100001063483,Fengshun Yongshun Continuous Casting Plant,丰顺永顺连铸厂,,,Fengshun Yongshun Continuous Casting Plant,,E100002020634,unknown,,Fengshun Yongshun Continuous Casting Plant [100.0%],E100002020634 [100.0%],unknown [100.0%],unknown,广东丰顺县汤西镇工业园,Meizhou,Guangdong,China,Asia Pacific,"23.7471730, 116.1262410",exact,https://www.gem.wiki/Fengshun_Yongshun_Continuous_Casting_Plant,19.27,unknown,unknown,2006-11-13 00:00:00,unknown,unknown,unknown,,,,,"semi-finished, finished rolled","steel billets, steel plates, steel pipes, steel bars, castings",unknown,unknown,expired,2025-03-13 00:00:00,no,EAF,unknown,unknown,unknown,,23.747173,116.126241,CHN,0.03885949107629953,133059,453215982.2079722,23.70833333,116.125,156,1
P100001062842,"Fogang Dawei Special Steel Co., Ltd.",佛冈达味特钢有限公司,,,Fogang Dawei Special Steel Co Ltd,,E100002020454,unknown,,Fogang Dawei Special Steel Co Ltd [100.0%],E100002020454 [100.0%],unknown [100.0%],unknown,广东省清远市佛冈县石角镇莲溪村委飞鹅塘村58号,Qingyuan,Guangdong,China,Asia Pacific,"23.8939720, 113.5008290",exact,"https://www.gem.wiki/Fogang_Dawei_Special_Steel_Co.,_Ltd.",14.29,unknown,unknown,2011-11-04 00:00:00,unknown,unknown,unknown,,,,,unknown,steel bars,building and infrastructure,273,2024-02-27 00:00:00,2024-08-08 00:00:00,no,EAF,unknown,unknown,unknown,,23.893972,113.500829,CHN,0.045029457858485444,132577,794462578.72561,23.875,113.54166667,156,1
P100000120345,Fujian Dadonghai Industrial Group Co Ltd plant,福建大东海实业有限公司,"Fujian Dadonghai Industrial Co., Ltd.","福建鑫海冶金有限公司, 福建大东海实业集团有限公司",Fujian Great Dong Hai Industrial Group Co Ltd,福建大东海实业集团有限公司,E100000123166,unknown,,Fujian Great Dong Hai Industrial Group Co Ltd [100.0%],E100000123166 [100.0%],unknown [100.0%],"No. 14 Junmin Road, Dazhi Village, Songxia Town, Changle District, Fuzhou City, Fujian Province",福建省福州市长乐区松下镇大祉村军民路14号,Fuzhou,Fujian,China,Asia Pacific,"25.7377770, 119.5922390",exact,https://www.gem.wiki/Fujian_Dadonghai_Industrial_Group_Co_Ltd_plant,8.0,unknown,unknown,2018,unknown,unknown,unknown,,,,,finished rolled,rebar,unknown,6658,2023-09-27 00:00:00,2024-07-19 00:00:00,no,BF; BOF,Self-owned power plant,unknown,unknown,,25.737777,119.592239,CHN,0.05851914442897143,127158,548350467.9412751,25.70833333,119.54166667,156,1
P100000120314,Fujian Dingsheng Iron and Steel Co Ltd,福建鼎盛钢铁有限公司,,,Fujian Dingsheng Steel Co Ltd,福建鼎盛钢铁有限公司,E100000126260,unknown,,Fujian Dingsheng Steel Co Ltd [100.0%],E100000126260 [100.0%],unknown [100.0%],"Metallurgical Industrial Zone, Fuding , Ningde City, Fujian Province",福建省宁德市福鼎市冶金工业区,Ningde,Fujian,China,Asia Pacific,"27.2244770, 120.3288280",exact,https://www.gem.wiki/Fujian_Dingsheng_Iron_and_Steel_Co_Ltd,8.0,unknown,unknown,2018,unknown,unknown,unknown,,,,,finished rolled,"coil, plate","automotive, tools and machinery",1077,2023-05-26 00:00:00,2023-05-26 00:00:00,no,EAF; BF; BOF,Waste Heat Power Generation,unknown,unknown,,27.224477,120.328828,CHN,0.04051644762856338,122596,65973740.548705816,27.20833333,120.29166667,156,1
P100000121065,Fujian Dingxin Industrial Co Ltd,福建鼎信实业有限公司,,,Fujian Dingxin Industry Co Ltd,福建鼎信实业有限公司,E100000126523,unknown,,Shanghai Decent Investment (Group) Co Ltd [36.4%]; unknown [20.4%]; TSINGSHAN Holding Group Co Ltd [19.8%]; Zhejiang Qingshan Business Management Co Ltd [15.6%]; DELIXI Group Limited Co [7.8%],E100000128090 [36.4%]; E100000132388 [20.4%]; E100000128088 [19.8%]; E100000128539 [15.6%]; E100000128291 [7.8%],5000703672 [36.4%]; unknown [20.4%]; unknown [19.8%]; unknown [15.6%]; unknown [7.8%],"Longzhu Village, Wanwu Township, Fu'an City, Ningde City, Fujian Province",福建省宁德市福安市湾坞乡龙珠村,Ningde,Fujian,China,Asia Pacific,"26.7695000, 119.7385190",exact,https://www.gem.wiki/Fujian_Dingxin_Industrial_Co_Ltd,18.0,unknown,unknown,2008,unknown,unknown,unknown,300.0,,,,"semi-finished, finished rolled","billet, coil",unknown,3070,2023-03-24 00:00:00,2025-03-24 00:00:00,no,EAF,waste heat power generation,unknown,unknown,300.0,26.7695,119.738519,CHN,0.06820950221367794,124131,11794218.386546498,26.70833333,119.70833333,156,1
P100000120416,Fujian Fuhua New Materials Group Co Ltd,福建福华新材料集团有限公司,,,Mindong Saiqi Economic Development Zone Fuhua Steel Rolling Co Ltd,福建福华新材料集团有限公司,E100000126680,unknown,,Mindong Saiqi Economic Development Zone Fuhua Steel Rolling Co Ltd [100.0%],E100000126680 [100.0%],unknown [100.0%],"Xiaoliu Industrial Park, Saiqi Economic Development Zone, Fu'an City, Ningde City, Fujian Province",福建省宁德市福安市赛岐经济开发区小留工业园区,Ningde,Fujian,China,Asia Pacific,"26.9615160, 119.6542720",exact,https://www.gem.wiki/Fujian_Fuhua_New_Materials_Group_Co_Ltd,27.0,unknown,unknown,1999,unknown,unknown,unknown,,,,,"semi-finished, finished rolled",unknown,unknown,417,2023-03-27 00:00:00,2024-06-27 00:00:00,no,EAF,State Grid Ningde Power Supply Company,unknown,unknown,,26.961516,119.654272,CHN,0.029444513450374004,123365,283759824.5657374,26.95833333,119.625,156,1
P100000121066,Fujian Fuxin Special Steel Co Ltd,福建福欣特殊钢有限公司,,,Fujian Fuxin Special Steel Co Ltd,福建福欣特殊钢有限公司,E100000127029,unknown,,Tianlong Investment Co Ltd [58.3%]; Huayang Investment (Hong Kong) Ltd [41.6%],E100000130641 [58.3%]; E100000125857 [41.6%],unknown [58.3%]; unknown [41.6%],"No. 1 Longchi Avenue, Jiaomei Town, Taiwanese Investment Zone, Longhai City, Zhangzhou City, Fujian Province",福建省漳州市龙海市台商投资区角美镇龙池大道1号,Zhangzhou,Fujian,China,Asia Pacific,"24.4724390, 117.9488500",exact,https://www.gem.wiki/Fujian_Fuxin_Special_Steel_Co_Ltd,19.0,unknown,unknown,2007,unknown,unknown,unknown,,,,,"semi-finished, finished rolled","billet, coil",unknown,1413,no,no,no,EAF,Photovoltaic Power Generation,unknown,unknown,,24.472439,117.94885,CHN,0.06987420011361833,130712,17250077612.688942,24.54166667,117.95833333,156,1
P100001064195,Fujian Hongfeng Industrial Group Co Ltd,福建宏丰实业集团有限公司,,"福建宏丰钢铁有限公司, 福建省顺昌宏丰钢铁有限公司",Fujian Hongfeng Industrial Group Co Ltd,,E100002021022,unknown,,Fujian Hongfeng Industrial Group Co Ltd [100.0%],E100002021022 [100.0%],unknown [100.0%],unknown,福建省顺昌县新屯工业园区,Nanping,Fujian,China,Asia Pacific,"26.868423, 117.776369",approximate,https://www.gem.wiki/Fujian_Hongfeng_Industrial_Group_Co_Ltd,26.5,unknown,unknown,1999-08-20 00:00:00,unknown,unknown,unknown,,,,,finished rolled,rebar,unknown,65,2025-07-03 00:00:00,no,no,EAF,unknown,unknown,unknown,,26.868423,117.776369,CHN,0.016651595612095536,123601,29883675.310433295,26.875,117.79166667,156,1
P100000120413,Fujian Longgang New Materials Co Ltd,福建龙钢新型材料有限公司,,,Fujian Longgang New Materials Co Ltd,福建龙钢新型材料有限公司,E100000126717,unknown,,Fujian Longgang New Materials Co Ltd [100.0%],E100000126717 [100.0%],unknown [100.0%],"Zhangping Industrial Park, Longyan City, Fujian Province",福建省龙岩市漳平工业园钢铁产业园区,Longyan,Fujian,China,Asia Pacific,"25.3574080, 117.3620960",exact,https://www.gem.wiki/Fujian_Longgang_New_Materials_Co_Ltd,,2019-12-01 00:00:00,2021-10-01 00:00:00,unknown,unknown,unknown,unknown,,,,,unknown,unknown,unknown,896,2025-03-24 00:00:00,no,no,BF; BOF,Longyan Power Supply Company,unknown,unknown,,25.357408,117.362096,CHN,0.021817233555154806,128154,81212030.76822813,25.375,117.375,156,1
P100000120080,Fujian Luoyuan Minguang Iron and Steel Co Ltd,福建罗源闽光钢铁有限责任公司,,,Fujian Luoyuan Minguang Iron & Steel Co Ltd,福建罗源闽光钢铁有限责任公司,E100000123227,unknown,Partial,Fujian Metallurgical Holding Co Ltd [53.4%]; unknown [46.6%],E100000124862 [53.4%]; E100000132388 [46.6%],unknown [53.4%]; unknown [46.6%],"Zone 1, Jingang Industrial Zone, Luoyuanwan Development Zone, Luoyuan County, Fuzhou City, Fujian Province",福建省福州市罗源县罗源湾开发区金港工业区1区,Fuzhou,Fujian,China,Asia Pacific,"26.4838150, 119.6710500",exact,https://www.gem.wiki/Fujian_Luoyuan_Minguang_Iron_and_Steel_Co_Ltd,12.0,unknown,unknown,2014,unknown,unknown,unknown,,2230.0,,,"semi-finished, finished rolled","billet, round bar, rebar",unknown,2459,2023-05-30 00:00:00,2023-05-30 00:00:00,no,BF; BOF,Self-owned power generation,unknown,unknown,2230.0,26.483815,119.67105,CHN,0.04515929806671576,124890,53661889.35483706,26.45833333,119.70833333,156,1
P100000120392,Fujian Qingtuo New Material Co Ltd,福建青拓新材料有限公司,,,Fujian Qingtuo New Material Co Ltd,福建青拓新材料有限公司,E100000126389,unknown,,Shanghai Decent Investment (Group) Co Ltd [51.6%]; unknown [23.1%]; TSINGSHAN Holding Group Co Ltd [19.7%]; Zhejiang Qingshan Business Management Co Ltd [5.6%],E100000128090 [51.6%]; E100000132388 [23.1%]; E100000128088 [19.7%]; E100000128539 [5.6%],5000703672 [51.6%]; unknown [23.1%]; unknown [19.7%]; unknown [5.6%],"Shawan Village, Wanwu Town, Fu'an City, Ningde City, Fujian Province",福建省宁德市福安市湾坞镇沙湾村,Ningde,Fujian,China,Asia Pacific,"26.7793010, 119.7679350",exact,https://www.gem.wiki/Fujian_Qingtuo_New_Material_Co_Ltd,3.0,unknown,2022-03-01 00:00:00,2023,unknown,unknown,unknown,,,,,semi-finished,billet,unknown,152,2025-03-04 00:00:00,2025-03-04 00:00:00,no,EAF,waste heat power generation&400 megawatts rooftop distributed photovoltaic,unknown,unknown,,26.779301,119.767935,CHN,0.09267561303825893,124131,11794218.386546498,26.70833333,119.70833333,156,1
P100000120077,Fujian Quanzhou Minguang Iron and Steel Co Ltd,福建泉州闽光钢铁有限责任公司,"Fujian San'an Iron & Steel Holdings Co., Ltd.",福建三安钢铁有限公司,Fujian San'an Iron & Steel Co Ltd,福建泉州闽光钢铁有限责任公司,E100000126555,unknown,Partial,Fujian Metallurgical Holding Co Ltd [53.4%]; unknown [46.6%],E100000124862 [53.4%]; E100000132388 [46.6%],unknown [53.4%]; unknown [46.6%],"Hutou Town, Anxi County, Quanzhou City, Fujian Province",福建省泉州市安溪县湖头镇,Quanzhou,Fujian,China,Asia Pacific,"25.2443960, 118.0299050",exact,https://www.gem.wiki/Fujian_Quanzhou_Minguang_Iron_and_Steel_Co_Ltd,25.0,unknown,unknown,2001,unknown,unknown,unknown,,,,,finished rolled,"wire rod, round bar, rebar, bar",unknown,2716,2024-05-27 00:00:00,2024-05-27 00:00:00,no,BF; BOF,Self-owned power generation,unknown,unknown,,25.244396,118.029905,CHN,0.0379322165015142,128674,1080493062.2097301,25.20833333,118.04166667,156,1
P100000120078,Fujian Sanbao Steel Co Ltd,福建三宝钢铁有限公司,Zhangzhou Sanbao Iron and Steel Co.,漳州三宝钢铁有限公司,Fujian Sanbao Steel Co Ltd,福建三宝钢铁有限公司,E100000126246,unknown,,Sanbao Group Co Ltd [100.0%],E100000128113 [100.0%],unknown [100.0%],"Punan Town, Xiangcheng District, Zhangzhou City, Fujian Province",福建省漳州市芗城区浦南镇,Zhangzhou,Fujian,China,Asia Pacific,"24.6357690, 117.6036770",exact,https://www.gem.wiki/Fujian_Sanbao_Steel_Co_Ltd,27.0,unknown,unknown,1999,unknown,unknown,unknown,,,,,"semi-finished, finished rolled","rebar, billet, coil, round bar, hot rolled","automotive, building and infrastructure, energy, tools and machinery, transport",4382,2024-06-27 00:00:00,2024-12-31 00:00:00,no,BF; BOF; EAF,Rooftop Distributed Photovoltaic Power Generation,unknown,unknown,,24.635769,117.603677,CHN,0.023888107710737495,130454,1437201755.3926136,24.625,117.625,156,1
P100000120081,Fujian Tsingtuo Nickel Industry Co Ltd,福建鼎信镍业有限公司,"Fujian Dingxin Nickel Industry Co., Ltd.",福建青拓镍业有限公司,Fujian Tsingtuo Nickel Industry Co Ltd,福建青拓镍业有限公司,E100000126778,unknown,,Shanghai Decent Investment (Group) Co Ltd [34.7%]; TSINGSHAN Holding Group Co Ltd [30.5%]; unknown [26.1%]; Zhejiang Qingshan Business Management Co Ltd [8.7%],E100000128090 [34.7%]; E100000128088 [30.5%]; E100000132388 [26.1%]; E100000128539 [8.7%],5000703672 [34.7%]; unknown [30.5%]; unknown [26.1%]; unknown [8.7%],"Fuxi Village, Wanwu Town, Fu'an City, Ningde City, Fujian Province",福建省宁德市福安市湾坞镇浮溪村,Ningde,Fujian,China,Asia Pacific,"26.7689250, 119.7652030",exact,https://www.gem.wiki/Fujian_Tsingtuo_Nickel_Industry_Co_Ltd,15.0,unknown,unknown,2011,unknown,unknown,unknown,1000.0,,,,"semi-finished, finished rolled","billet, wire, bar","building and infrastructure, energy, tools and machinery, transport",3912,2023-03-23 00:00:00,2025-03-27 00:00:00,no,BF; EAF,waste heat power generation&400 megawatts rooftop distributed photovoltaic,unknown,unknown,1000.0,26.768925,119.765203,CHN,0.0830993973461759,124131,11794218.386546498,26.70833333,119.70833333,156,1
P100000121064,Fujian Wuhang Stainless Steel Products Co Ltd,福建吴航不锈钢制品有限公司,,,Fujian Wuhang Stainless Steel Products Co Ltd,福建吴航不锈钢制品有限公司,E100000127366,unknown,,Fujian Wugang Group Co Ltd [38.2%]; Fujian Kaihang Stainless Steel Products Co Ltd [36.8%]; Tianwei Co Ltd [25.0%],E100000127616 [38.2%]; E100000128115 [36.8%]; E100000130640 [25.0%],unknown [38.2%]; unknown [36.8%]; unknown [25.0%],"Provincial Highway 203, Changle District, Fuzhou City, Fujian Province",福建省福州市长乐区203省道,Fuzhou,Fujian,China,Asia Pacific,"25.9592300, 119.4520180",exact,https://www.gem.wiki/Fujian_Wuhang_Stainless_Steel_Products_Co_Ltd,33.0,unknown,unknown,1993,unknown,unknown,unknown,,,,,finished rolled,"wire, strip","energy, transport",2600,2023-08-29 00:00:00,2023-08-29 00:00:00,no,EAF,State Grid Changle District Power Supply Company,unknown,unknown,,25.95923,119.452018,CHN,0.006378668363999683,126398,6512786661.363352,25.95833333,119.45833333,156,1
P100000120079,Fujian Yixin Steel Co Ltd,福建亿鑫钢铁有限公司,,,Fujian Yixin Steel & Iron Co Ltd,福建亿鑫钢铁有限公司,E100000126444,unknown,,"natural person(s) [38.4%]; unknown [23.2%]; Thailand Huihua Industrial Co Ltd [20.7%]; Labor Union Committee of Xiaojiao Rolling Mill of Sanming Iron and Steel Works, Fujian Province [17.7%]",E100000123261 [38.4%]; E100000132388 [23.2%]; E100000130639 [20.7%]; E100000130294 [17.7%],unknown [38.4%]; unknown [23.2%]; unknown [20.7%]; unknown [17.7%],"Baishui Reclamation Area, Luoyuan Bay Development Zone, Luoyuan County, Fuzhou City, Fujian Province",福建省福州市罗源县罗源湾开发区白水垦区内,Fuzhou,Fujian,China,Asia Pacific,"26.4913080, 119.6362400",exact,https://www.gem.wiki/Fujian_Yixin_Steel_Co_Ltd,20.0,unknown,unknown,2006,unknown,unknown,unknown,,,,,"semi-finished, finished rolled","billet, rebar",unknown,1229,2023-01-03 00:00:00,unknown,no,BF; BOF,Self-owned power generation,unknown,unknown,,26.491308,119.63624,CHN,0.05159780270679225,124637,136966250.464103,26.54166667,119.625,156,1
P100000120351,Fushun Hanking Direct Reduced Iron Co Ltd,抚顺罕王直接还原铁有限公司,,,Fushun HANWANG Direct Reduced Iron Co Ltd,抚顺罕王直接还原铁有限公司,E100000126360,unknown,,Tuchuan Capital Co Ltd [99.0%]; unknown [1.0%],E100000130419 [99.0%]; E100000132388 [1.0%],unknown [99.0%]; unknown [1.0%],Jingjia,辽宁省抚顺市抚顺县石文镇景家村,Shiwen,Liaoning,China,Asia Pacific,"41.6709980, 123.8514300",exact,https://www.gem.wiki/Fushun_Hanking_Direct_Reduced_Iron_Co_Ltd,23.5,unknown,unknown,2002-08-20 00:00:00,unknown,unknown,unknown,,,,,semi-finished,pig iron,"automotive, energy, tools and machinery",646,2025-04-02 00:00:00,unknown,no,BF,unknown,unknown,unknown,,41.670998,123.85143,CHN,0.04415282285663697,35907,26636182.46122891,41.70833333,123.875,156,1
P100000120226,Fushun New Steel Co Ltd,抚顺新钢铁有限责任公司,,,Fushun New Steel Corp Ltd,抚顺新钢铁有限责任公司,E100000124695,unknown,Partial,Beijing Jianlong Investment Co Ltd [63.2%]; Fushun State-Owned Assets Management Co Ltd [29.3%]; unknown [7.5%],E100000000155 [63.2%]; E100000125132 [29.3%]; E100000132388 [7.5%],unknown [63.2%]; unknown [29.3%]; unknown [7.5%],No. 18 Shenfu South Line,辽宁省抚顺市望花区沈抚南线18号,unknown,Liaoning,China,Asia Pacific,"41.8412230, 123.7538950",exact,https://www.gem.wiki/Fushun_New_Steel_Co_Ltd,20.36,unknown,unknown,2005-10-12 00:00:00,unknown,unknown,unknown,,,,,finished rolled,"structural, spring steel, strip, bar, pipe","automotive, building and infrastructure, tools and machinery",5435,2025-10-30 00:00:00,2023-02-19 00:00:00,no,BOF; BF; Iron other/unspecified,unknown,unknown,unknown,,41.841223,123.753895,CHN,0.050671340850512184,34757,8540543698.927486,41.875,123.79166667,156,1
P100000120228,Fushun Special Steel Co Ltd,抚顺特殊钢股份有限公司,"Dongbei Special Steel Group Fushun Co., Ltd.",东北特钢集团抚顺特殊钢股份有限公司,Fushun Special Steel Co Ltd,抚顺特殊钢股份有限公司,E100000126378,unknown,,Fushun Special Steel Co Ltd [100.0%],E100000126378 [100.0%],unknown [100.0%],"No. 8, East Section of Anshan Road",辽宁省抚顺市望花区鞍山路东段8号,unknown,Liaoning,China,Asia Pacific,"41.8387740, 123.8065860",exact,https://www.gem.wiki/Fushun_Special_Steel_Co_Ltd,89.0,unknown,unknown,1937,unknown,unknown,unknown,,,,,finished rolled,unknown,"energy, tools and machinery, transport",6342,2023-06-22 00:00:00,2024-08-06 00:00:00,no,EAF,State Grid Fushun Power Supply Company,unknown,unknown,,41.838774,123.806586,CHN,0.039177920869397594,34757,8540543698.927486,41.875,123.79166667,156,1
P100000120358,Fuzhou Wuhang Steel Products Co Ltd,福州吴航钢铁制品有限公司,,,Fuzhou Wuhang Steel Products Co Ltd,福州吴航钢铁制品有限公司,E100000126169,unknown,,natural person(s) [66.2%]; Fujian Wugang Group Co Ltd [33.8%],E100000123261 [66.2%]; E100000127616 [33.8%],unknown [66.2%]; unknown [33.8%],"Changle District, Fuzhou City, Fujian Province",福建省福州市长乐区航城街道霞洲村(洋屿作业区疏港路3号),Fuzhou,Fujian,China,Asia Pacific,"25.9951010, 119.4957250",exact,https://www.gem.wiki/Fuzhou_Wuhang_Steel_Products_Co_Ltd,5.0,unknown,unknown,2021,unknown,unknown,unknown,,,,,"semi-finished, finished rolled","billet, rebar",unknown,323,2022-12-29 00:00:00,2023-12-25 00:00:00,no,EAF,State Grid Fuqing City Power Supply Company,unknown,unknown,,25.995101,119.495725,CHN,0.05244042851290504,126398,6512786661.363352,25.95833333,119.45833333,156,1
P100000120082,Gansu Jiu Steel Group Hongxing Iron and Steel Co Ltd,甘肃酒钢集团宏兴钢铁股份有限公司,Jiuquan Iron and Steel Group,,Gansu Jiu Steel Group Hongxing Iron and Steel Co Ltd,甘肃酒钢集团宏兴钢铁股份有限公司,E100000127239,unknown,,Gansu Jiu Steel Group Hongxing Iron and Steel Co Ltd [100.0%],E100000127239 [100.0%],unknown [100.0%],"No. 12, Xiongguan East Road, Jiayuguan City, Gansu Province",甘肃省酒泉市嘉峪关市雄关东路12号,Jiayuguan,Gansu,China,Asia Pacific,"39.8121210, 98.2955550",exact,https://www.gem.wiki/Gansu_Jiu_Steel_Group_Hongxing_Iron_and_Steel_Co_Ltd,27.0,unknown,unknown,1999,unknown,unknown,unknown,,9500.0,,,finished rolled,"wire rod, sheet, plate, bar, coil, carbon steel",unknown,16221,2023-04-14 00:00:00,2025-01-10 00:00:00,no,BF; BOF; EAF,JISCO power stations 1 and 2,unknown,unknown,9500.0,39.812121,98.295555,CHN,0.0208206322175325,48974,7871975322.062651,39.79166667,98.29166667,156,1
P100001063538,Guangdong Daxing Iron & Steel Industrial Co Ltd,广东大兴钢铁实业有限公司,,,Guangdong Daxing Iron & Steel Industrial Co Ltd,,E100002020662,unknown,,Guangdong Daxing Iron & Steel Industrial Co Ltd [100.0%],E100002020662 [100.0%],unknown [100.0%],unknown,揭阳市榕城区仙梅民营科技园的西北部,Jieyang,Guangdong,China,Asia Pacific,"23.529158, 116.329247",exact,https://www.gem.wiki/Guangdong_Daxing_Iron_&_Steel_Industrial_Co_Ltd,26.52,unknown,unknown,1999-08-14 00:00:00,unknown,unknown,unknown,,,,,finished rolled,Reinforcing bars,unknown,500,unknown,unknown,no,EAF,unknown,unknown,unknown,,23.529158,116.329247,CHN,0.03960742390105242,133502,13690835436.783312,23.54166667,116.29166667,156,1
P100001063264,Guangdong Fogang Jincheng Metal Products Co Ltd,清远市佛冈县金城金属制品有限公司,,,Guangdong Fogang Jincheng Metal Products Co Ltd,,E100002020546,unknown,,Guangdong Fogang Jincheng Metal Products Co Ltd [100.0%],E100002020546 [100.0%],unknown [100.0%],unknown,广东省清远市佛冈县汤塘镇围镇村,Qingyuan,Guangdong,China,Asia Pacific,"23.7419650, 113.5021680",exact,https://www.gem.wiki/Guangdong_Fogang_Jincheng_Metal_Products_Co_Ltd,21.98,unknown,unknown,2004-02-26 00:00:00,unknown,unknown,unknown,,,,,"semi-finished, finished rolled","carbon steel, Stainless Steel, Wire Rod / Wire, Strip",unknown,406,no,no,no,EAF,unknown,unknown,unknown,,23.741965,113.502168,CHN,0.051877106306712585,133028,92889374.35438424,23.70833333,113.54166667,156,1
P100000120087,Guangdong Guangqing Metal Technology Co Ltd,广东广青金属科技有限公司,,,Guangdong Guangqing METAL Technology Co Ltd,广东广青金属科技有限公司,E100000126182,unknown,Partial,Guangdong Guangxin Holdings Group Ltd [48.9%]; Shanghai Decent Investment (Group) Co Ltd [17.0%]; unknown [16.9%]; TSINGSHAN Holding Group Co Ltd [13.4%]; Zhejiang Qingshan Business Management Co Ltd [3.8%],E100000127962 [48.9%]; E100000128090 [17.0%]; E100000132388 [16.9%]; E100000128088 [13.4%]; E100000128539 [3.8%],unknown [48.9%]; 5000703672 [17.0%]; unknown [16.9%]; unknown [13.4%]; unknown [3.8%],"No.1 Haigang Erheng Road, Lingang Industrial Park, Yangjiang High-tech Industrial Development Zone, Guangdong Province",广东省阳江市高新技术产业开发区临港工业园海港二横路1号,Yangjiang,Guangdong,China,Asia Pacific,"21.6970690, 111.8488410",exact,https://www.gem.wiki/Guangdong_Guangqing_Metal_Technology_Co_Ltd,16.0,unknown,unknown,2010,unknown,unknown,unknown,300.0,,,,finished rolled,"billet, coil",unknown,3499,2025-05-16 00:00:00,2025-03-06 00:00:00,no,EAF,Rooftop Distributed Photovoltaic Power Generation,unknown,unknown,300.0,21.697069,111.848841,CHN,0.0766696422451561,427,546325381.749661,21.625,111.875,156,1
